timestamp,valor
1748355772.6216621,"ID: 2127 | Temperatura: 26.20 C | Pressao: 1018.89 hPa | Accel [X,Y,Z]: -0.074, -0.133, 0.920 | Gyro [X,Y,Z] (°/s): -0.90, -2.24, ovf"
1748355773.7525167,"ID: 2128 | Temperatura: 26.20 C | Pressao: 1018.87 hPa | Accel [X,Y,Z]: -0.085, -0.142, 0.913 | Gyro [X,Y,Z] (°/s): -1.15, -2.15, ovf"
1748355774.8818688,"ID: 2129 | Temperatura: 26.20 C | Pressao: 1018.90 hPa | Accel [X,Y,Z]: -0.080, -0.136, 0.913 | Gyro [X,Y,Z] (°/s): -1.01, -2.19, ovf"
1748355776.0103931,"ID: 2130 | Temperatura: 26.20 C | Pressao: 1018.86 hPa | Accel [X,Y,Z]: -0.079, -0.137, 0.910 | Gyro [X,Y,Z] (°/s): -1.05, -2.01, ovf"
1748355777.1389935,"ID: 2131 | Temperatura: 26.20 C | Pressao: 1018.86 hPa | Accel [X,Y,Z]: -0.076, -0.136, 0.910 | Gyro [X,Y,Z] (°/s): -0.98, -2.27, ovf"
1748355778.2682078,"ID: 2132 | Temperatura: 26.20 C | Pressao: 1018.93 hPa | Accel [X,Y,Z]: -0.081, -0.135, 0.909 | Gyro [X,Y,Z] (°/s): -0.96, -2.07, ovf"
1748355779.3970842,"ID: 2133 | Temperatura: 26.20 C | Pressao: 1018.90 hPa | Accel [X,Y,Z]: -0.076, -0.134, 0.906 | Gyro [X,Y,Z] (°/s): -1.05, -2.25, ovf"
1748355780.5254703,"ID: 2134 | Temperatura: 26.20 C | Pressao: 1018.89 hPa | Accel [X,Y,Z]: -0.086, -0.138, 0.913 | Gyro [X,Y,Z] (°/s): -1.10, -2.28, ovf"
1748355781.6540437,"ID: 2135 | Temperatura: 26.20 C | Pressao: 1018.85 hPa | Accel [X,Y,Z]: -0.083, -0.137, 0.913 | Gyro [X,Y,Z] (°/s): -0.93, -2.18, ovf"
1748355782.7821834,"ID: 2136 | Temperatura: 26.20 C | Pressao: 1018.87 hPa | Accel [X,Y,Z]: -0.056, -0.151, 0.891 | Gyro [X,Y,Z] (°/s): -0.76, -2.38, ovf"
1748355783.9110773,"ID: 2137 | Temperatura: 26.20 C | Pressao: 1018.84 hPa | Accel [X,Y,Z]: -0.081, -0.139, 0.909 | Gyro [X,Y,Z] (°/s): -0.59, -2.39, ovf"
1748355785.040527,"ID: 2138 | Temperatura: 26.20 C | Pressao: 1018.86 hPa | Accel [X,Y,Z]: -0.078, -0.140, 0.917 | Gyro [X,Y,Z] (°/s): -1.11, -2.18, ovf"
1748355786.1695762,"ID: 2139 | Temperatura: 26.20 C | Pressao: 1018.86 hPa | Accel [X,Y,Z]: -0.082, -0.122, 0.924 | Gyro [X,Y,Z] (°/s): -0.77, -2.23, ovf"
1748355787.29905,"ID: 2140 | Temperatura: 26.20 C | Pressao: 1018.82 hPa | Accel [X,Y,Z]: -0.086, -0.136, 0.907 | Gyro [X,Y,Z] (°/s): -1.09, -2.02, ovf"
1748355788.427857,"ID: 2141 | Temperatura: 26.20 C | Pressao: 1018.91 hPa | Accel [X,Y,Z]: -0.093, -0.131, 0.917 | Gyro [X,Y,Z] (°/s): -0.72, -2.21, ovf"
1748355789.5560012,"ID: 2142 | Temperatura: 26.20 C | Pressao: 1018.87 hPa | Accel [X,Y,Z]: -0.084, -0.147, 0.912 | Gyro [X,Y,Z] (°/s): -0.58, -2.21, ovf"
1748355790.6910713,"ID: 2143 | Temperatura: 26.20 C | Pressao: 1018.88 hPa | Accel [X,Y,Z]: -0.081, -0.135, 0.916 | Gyro [X,Y,Z] (°/s): -1.03, -2.06, ovf"
1748355791.823196,"ID: 2144 | Temperatura: 26.20 C | Pressao: 1018.86 hPa | Accel [X,Y,Z]: -0.078, -0.139, 0.913 | Gyro [X,Y,Z] (°/s): -0.92, -2.24, ovf"
1748355792.9530468,"ID: 2145 | Temperatura: 26.20 C | Pressao: 1018.86 hPa | Accel [X,Y,Z]: -0.078, -0.141, 0.902 | Gyro [X,Y,Z] (°/s): -0.89, -2.21, ovf"
1748355794.080918,"ID: 2146 | Temperatura: 26.20 C | Pressao: 1018.94 hPa | Accel [X,Y,Z]: -0.082, -0.137, 0.916 | Gyro [X,Y,Z] (°/s): -0.97, -2.26, ovf"
